ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,ESTRATO,LLAVE_PANEL,CODCIUDAD,AREA,C201,C203,C204,C205,C206,C207,C208,c300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C348,C347_T,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,D341_T,D344,D347_T,D350,D351_T,I339_1,I342,I345_1,I348,INGTOT,INGTOTP,ingtrabw,RESIDENT,Informal_P,FAC300_ANUAL
2023,01,18271,1,0014,1,1,202301182711001411,26,1,1,1,1,2, ,1,43,1,1,26,12,1979,1, , , , , , , , , , , , , , , ,2411,6920,1, ,1, ,1,2,0,6,6,6,6,6,0,30, ,30,1, ,1,2,2,2, , , ,2300, , , , , , , , , , , , ,1,1,1,2,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,2,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1, , , , , , ,2300, , ,2300,2300,2300,1,2,179.180107143881
2023,01,18271,1,0014,1,1,202301182711001412,26,1,2,2,1,2, ,2,50,2,2,2,2,1972,1, , , , , , , , , , , , , , , ,4419,8219,2, ,3,2,1,1,0,2,2,2,2,2,2,12, ,12,1, ,2, ,2,2, , , ,25, , , , , , , , , , , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1, , , , , , ,25, , ,25,25,25,1,1,128.910380158017
2023,01,18271,1,0014,1,1,202301182711001413,26,1,3,3,1,2, ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , 
2023,01,18271,1,0016,1,1,202301182711001611,26,1,1,1,1,2, ,1,65,1,1,30,9,1957,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,2, , , , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,4,5, ,1,1,2,2,2,2,1,1,4, , , , , , , , , , , , ,1, ,141.822072432032
2023,01,18271,1,0016,1,1,202301182711001612,26,1,2,3,1,2, ,1,24,2,2,28,9,1998,1, , , , , , , , , , , , , , , ,3513,8220,3,5,1, ,5,4000,0,8,8,8,8,8,8,48, ,48,1, ,1,1,1,2,4,1500, , , , , , , , , , , , , , ,2,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,1,1, , , , ,249,1500, , , ,1500,1500,1749,1,2,164.026291458816
2023,01,18271,1,0016,1,1,202301182711001613,26,1,3,3,1,2, ,1,22,3,3,2,10,2000,1, , , , , , , , , , , , , , , ,4416,8220,3,5,1, ,5,4000,0,9,9,9,9,9,0,45, ,45,1, ,1,1,1,2,4,1800, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,8,1, ,2,2,2,2,2,2,10,7,1, , , , ,375,1800, , , ,1800,1800,2175,1,2,164.026291458816
2023,01,18271,1,0017,1,1,202301182711001711,26,1,1,1,1,2, ,1,34,1,1,29,10,1988,1, , , , , , , , , , , , , , , ,8332,4923,3,5,1, ,1,6,0,8,8,8,8,8,8,48, ,48,1, ,1,1,1,2,2,400, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , , , ,57,1732, , , ,1732,1732,1789,1,2,179.180107143881
2023,01,18271,1,0017,1,1,202301182711001712,26,1,2,2,1,2, ,2,39,2,2,25,2,1983,1, , , , , , , , , , , , , , , ,5244,4730,3,5,1, ,5,1500,8,0,8,8,8,8,8,48, ,48,1, ,2, ,2,2,4,1150, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , , , , ,1150, , , ,1150,1150,1150,1,2,169.847944487417
2023,01,18271,1,0017,1,1,202301182711001713,26,1,3,3,1,2, ,1,16,3,3,28,11,2006,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,2,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,4, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1, ,164.026291458816
2023,01,18271,1,0017,1,1,202301182711001714,26,1,4,3,1,2, ,2,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , 
2023,01,18271,1,0017,1,1,202301182711001715,26,1,5,3,1,2, ,1,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , 
2023,01,18324,1,0020,1,1,202301183241002011,26,1,1,1,1,2, ,2,78,1,1,10,11,1944,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,2, , , , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1, ,127.837668242786
2023,01,18324,1,0020,1,1,202301183241002012,26,1,2,5,1,2, ,2,21,2,2,27,7,2001,1, , , , , , , , , , , , , , , ,5243,4791,2, ,2,2,1,1,0,4,4,4,4,4,4,24, ,24,1, ,2, ,2,2, , , ,1000, , , , , , , , , , , , ,1,1,1,2,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,2,2, ,2, ,2, ,10,1, ,2,2,2,2,2,2,10,7,1, , , , , , ,400, , ,400,400,400,1,2,178.650886666821
2023,01,18324,1,0020,1,1,202301183241002013,26,1,3,11,1,2, ,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , 
2023,01,18324,1,0020,1,1,202301183241002014,26,1,4,11,1,2, ,1,21,4,2,22,11,2001,1, , , , , , , , , , , , , , , ,4312,6419,3,5,1, ,5,5000,0,6,6,6,6,6,6,36, ,36,1, ,1,1,1,2,4,1600, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,10,3, ,2,2,2,2,2,2,10,7,1, , , , ,200,1600, , , ,1600,1600,1800,1,2,162.661366795313
2023,01,18324,1,0021,1,1,202301183241002111,26,1,1,1,1,2, ,1,66,1,1,5,7,1956,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,1,2, , , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,2, ,5,4, ,1,2,2,2,2,2,10,5,4, , , , , , , , , , , , ,1, ,140.641917453401
2023,01,18324,1,0021,1,1,202301183241002112,26,1,2,2,1,2, ,2,65,2,2,22,11,1957,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1, ,127.837668242786
